stg_outlet_cd,stg_item_cd,DATE_ID,sales_qty
A,91438,2022-10-07,7.0
B,123307,2022-01-28,49.0
C,110806,2022-02-11,1.0
B,107836,2022-05-03,24.0
C,15352,2022-05-25,4.0
A,268,2022-03-01,5.0
A,116836,2022-06-28,16.0
D,104470,2022-04-12,18.0
D,42847,2022-05-27,3.0
D,10375,2022-07-04,3.0
D,123307,2022-08-07,75.0
D,91438,2022-09-04,21.0
D,23020,2022-10-16,14.0
C,6748,2022-07-23,6.0
B,6640,2022-03-13,21.0
B,102490,2022-09-23,50.62599956989288
E,6163,2022-04-13,4.0
A,40381,2022-03-25,10.0
A,40759,2022-05-25,11.0
A,92482,2022-07-31,10.0
D,40759,2022-02-06,9.0
D,4480,2022-02-13,2.0
D,123586,2022-04-15,24.0
D,9637,2022-06-27,2.0
D,40939,2022-08-20,17.0
D,25081,2022-10-01,1.0
C,115846,2022-01-27,4.0
B,43504,2022-02-23,1.0
A,14947,2022-05-08,5.0
A,40939,2022-05-09,4.0
A,23938,2022-05-19,2.0
D,24136,2022-03-29,2.0
D,110320,2022-04-02,15.0
A,3679,2022-07-11,7.0
D,24136,2022-06-30,4.0
D,14947,2022-09-10,3.0
C,25000,2022-03-04,2.0
C,42685,2022-03-11,65.0
C,120418,2022-06-23,5.0
B,46591,2022-09-29,17.0
B,46591,2022-02-13,10.0
B,18223,2022-03-03,88.0
A,116836,2022-07-08,24.0
D,18223,2022-08-16,156.0
D,18223,2022-09-17,176.0
C,117520,2022-08-12,7.0
C,118033,2022-02-26,1.0
E,110356,2022-10-13,1.0
A,99250,2022-08-29,2.0
A,117520,2022-09-10,42.0
B,259,2022-03-08,3.0
B,11293,2022-05-25,10.0
D,29653,2022-02-03,29.0
D,259,2022-02-09,9.0
D,3652,2022-08-25,11.0
A,11509,2022-05-20,14.0
A,91438,2022-06-20,7.0
C,119554,2022-04-10,85.0
C,36808,2022-05-19,44.0
C,96136,2022-05-20,1.0720000267028809
B,40381,2022-04-06,8.0
B,43738,2022-06-19,3.0
E,29896,2022-03-16,1.0
A,123307,2022-05-24,264.0
D,117925,2022-02-10,27.0
D,123586,2022-04-05,3.0
D,122767,2022-06-17,19.0
A,123307,2022-06-06,99.0
A,9979,2022-07-19,2.0
D,124414,2022-04-01,2.0
D,55879,2022-07-24,8.0
D,42685,2022-08-01,9.0
B,110356,2022-02-13,1.0
B,14947,2022-06-21,4.0
B,110878,2022-09-24,1.0
B,12355,2022-10-15,3.0
C,92491,2022-06-28,12.0
C,10204,2022-10-06,40.0
E,36808,2022-04-08,11.0
E,27790,2022-07-21,1.0
A,57058,2022-05-01,3.0
D,117376,2022-02-21,15.0
D,114658,2022-06-30,1.0
A,95443,2022-10-02,3.0
C,40939,2022-05-12,12.0
A,40759,2022-06-04,16.0
D,117358,2022-09-27,1.0
A,119554,2022-09-10,17.0
B,123307,2022-07-28,50.0
A,23938,2022-01-30,6.0
A,40381,2022-06-13,12.0
D,29653,2022-09-24,11.0
D,3022,2022-09-28,4.0
C,117376,2022-03-10,2.0
C,123307,2022-09-21,79.0
A,107224,2022-09-02,6.0
A,107863,2022-09-10,6.0
C,97486,2022-02-01,1.0
C,117610,2022-02-12,1.0
C,4741,2022-02-27,2.0
B,18223,2022-03-06,119.0
A,6163,2022-08-07,12.0
D,98809,2022-02-12,28.0
E,121174,2022-04-09,1.0
E,12247,2022-04-23,3.0
B,45412,2022-03-02,5.0
B,117520,2022-04-04,12.0
B,42685,2022-05-23,4.0
B,107836,2022-06-30,8.0
D,117520,2022-02-05,22.0
D,75463,2022-05-16,1.0
A,898,2022-02-16,101.0
B,57976,2022-07-25,1.0
C,16009,2022-03-24,1.0
C,36808,2022-08-07,37.0
C,123307,2022-08-23,156.0
C,123667,2022-08-24,1.0
B,117925,2022-06-21,12.0
B,1942,2022-06-21,2.0
E,123307,2022-07-30,17.0
D,114658,2022-02-28,5.0
A,4741,2022-08-27,3.0
B,117736,2022-03-05,6.0
D,36808,2022-09-11,71.0
B,6640,2022-02-27,10.0
B,13633,2022-04-01,1.0
B,113281,2022-05-16,5.0
C,117736,2022-03-19,12.0
B,40759,2022-06-08,11.0
B,42685,2022-09-23,20.0
C,43135,2022-07-15,5.0
C,94876,2022-08-04,1.0
C,4480,2022-08-20,2.0
A,114658,2022-02-12,2.0
A,93895,2022-03-23,4.0
A,117925,2022-04-09,17.0
D,36808,2022-01-28,72.0
D,123478,2022-02-10,2.0
D,23020,2022-05-16,25.0
D,36808,2022-06-01,92.0
D,36808,2022-07-26,72.0
D,46150,2022-07-28,6.0
A,36808,2022-09-28,77.0
C,46150,2022-05-21,6.0
B,57976,2022-02-16,1.0
B,110338,2022-03-07,1.0
A,91438,2022-06-04,4.0
A,123730,2022-06-20,6.0
D,101635,2022-04-05,3.0
D,40759,2022-08-04,13.0
C,117745,2022-02-14,28.0
A,3679,2022-10-13,4.0
A,115846,2022-10-15,12.0
A,13408,2022-09-29,1.0
A,107863,2022-05-05,8.0
D,30454,2022-02-04,2.0
C,107224,2022-07-25,1.0
A,898,2022-01-25,3.0
B,98809,2022-02-20,16.0
C,2806,2022-09-18,3.0
A,110320,2022-08-17,4.0
D,36808,2022-02-21,79.0
D,40759,2022-02-13,12.0
D,268,2022-08-27,10.0
C,123307,2022-09-13,113.0
B,898,2022-02-16,36.0
E,123307,2022-07-06,7.0
B,117520,2022-04-06,9.0
E,123307,2022-10-09,6.0
D,123307,2022-02-09,161.0
D,95119,2022-05-17,5.0
A,110806,2022-02-02,2.0
A,31579,2022-06-30,2.0
C,122686,2022-10-16,2.0
E,1231,2022-08-30,4.0
C,123307,2022-05-25,277.0
C,122767,2022-06-21,22.0
B,94336,2022-01-29,1.0
B,43135,2022-05-07,6.0
E,116836,2022-03-20,3.0
B,102490,2022-09-09,20.074000000953674
E,14848,2022-06-20,1.0
E,40201,2022-06-30,1.0
A,29896,2022-03-06,2.0
A,110122,2022-04-26,2.0
A,97486,2022-05-28,2.0
D,11230,2022-05-22,1.0
D,123307,2022-06-09,62.0
C,23146,2022-01-29,4.0
C,95137,2022-03-10,8.0
B,107836,2022-06-02,11.0
C,6163,2022-09-11,7.0
E,40759,2022-06-18,2.0
A,117376,2022-02-11,32.0
D,95137,2022-03-08,9.0
D,29311,2022-06-03,2.0
D,57058,2022-10-07,5.0
B,92491,2022-07-31,6.0
A,12247,2022-03-27,5.0
A,1672,2022-05-01,4.0
A,117196,2022-05-14,1.0
A,29653,2022-06-07,6.0
A,23938,2022-07-16,4.0
D,115846,2022-10-01,15.0
C,1672,2022-04-11,42.0
A,9637,2022-10-14,1.0
D,43135,2022-04-11,18.0
D,23146,2022-05-30,4.0
C,116062,2022-04-23,3.0
C,11509,2022-05-13,9.0
C,40759,2022-08-09,3.0
A,117376,2022-03-12,1.0
A,76399,2022-08-22,7.0
A,40381,2022-09-11,14.0
D,36808,2022-08-10,63.0
C,105604,2022-04-25,12.0
C,10204,2022-06-26,31.0
B,46591,2022-09-16,14.0
B,18223,2022-07-07,132.0
D,18223,2022-06-13,218.0
D,98809,2022-08-05,29.0
C,36808,2022-05-20,32.0
C,43738,2022-04-02,3.0
C,6640,2022-09-01,3.0
D,41686,2022-08-18,2.0
A,116836,2022-06-27,9.0
E,117736,2022-10-10,3.0
B,13795,2022-07-12,2.0
B,23785,2022-08-27,3.0
D,6640,2022-03-13,21.0
D,43135,2022-07-22,20.0
A,91438,2022-02-19,19.0
A,75463,2022-03-10,2.0
A,107836,2022-05-02,59.0
B,12355,2022-08-19,1.0
E,107863,2022-09-13,4.0
C,40759,2022-07-09,41.0
B,116836,2022-05-03,3.0
E,13795,2022-03-24,2.0
A,123307,2022-02-28,62.0
A,43135,2022-04-30,14.0
A,7396,2022-07-06,2.0
A,11230,2022-09-02,4.0
D,117520,2022-04-23,35.0
D,43135,2022-07-15,20.0
C,55906,2022-08-07,1.0
C,123307,2022-08-16,65.0
B,42685,2022-06-20,19.0
A,95119,2022-05-20,3.0
D,121714,2022-06-10,3.0
A,119554,2022-10-15,19.0
C,19114,2022-02-14,6.0
B,13003,2022-04-11,1.0
B,24136,2022-06-05,3.0
C,36808,2022-08-21,59.0
C,1204,2022-10-08,1.0
E,122767,2022-08-23,9.0
D,9979,2022-03-10,5.0
D,124414,2022-05-13,5.0
D,88,2022-07-28,1.0
D,898,2022-09-01,20.0
C,529,2022-08-22,1.0
C,10636,2022-05-12,1.0
C,42685,2022-06-21,33.0
C,43135,2022-08-04,6.0
B,10105,2022-03-08,1.0
B,13795,2022-07-15,2.0
B,23371,2022-07-23,1.0
B,123307,2022-09-15,39.0
B,104470,2022-10-01,5.0
A,110320,2022-02-09,7.0
A,2977,2022-02-19,1.0
A,117736,2022-05-14,51.0
D,116962,2022-05-06,4.0
D,3328,2022-05-22,4.0
D,110320,2022-10-01,21.0
B,102490,2022-09-06,23.784000158309937
B,116836,2022-07-19,7.0
A,898,2022-01-28,40.0
A,110320,2022-04-11,8.0
A,6163,2022-05-12,73.0
D,121174,2022-03-06,2.0
A,100537,2022-08-04,1.0
C,11293,2022-03-21,5.0
C,11842,2022-04-02,1.0
E,952,2022-07-08,9.0
A,42154,2022-02-21,9.133999824523926
A,23020,2022-05-28,5.0
A,42685,2022-08-10,35.0
A,42685,2022-08-22,14.0
D,117520,2022-02-23,15.0
D,117520,2022-04-02,35.0
C,7396,2022-02-27,3.0
E,18223,2022-09-22,16.0
D,98809,2022-04-26,24.0
C,119554,2022-06-29,35.0
C,24136,2022-09-14,1.0
A,107836,2022-07-31,80.0
C,118033,2022-01-26,5.0
B,40381,2022-04-05,3.0
E,40381,2022-07-17,5.0
E,110077,2022-10-13,1.0
D,123307,2022-04-07,160.0
D,122767,2022-07-28,18.0
D,100501,2022-09-01,2.0
A,107836,2022-05-31,45.0
B,36808,2022-08-15,28.0
E,23785,2022-09-30,3.0
C,40939,2022-02-09,6.0
C,40381,2022-06-14,9.0
C,43738,2022-09-20,3.0
B,92491,2022-06-13,4.0
B,95137,2022-09-17,1.0
A,4705,2022-04-10,25.0
A,117925,2022-04-11,10.0
D,123307,2022-03-24,202.0
D,23020,2022-04-01,9.0
D,898,2022-09-07,27.0
A,96136,2022-08-11,31.305999636650085
D,117610,2022-05-13,11.0
D,117520,2022-06-18,19.0
A,27790,2022-09-05,2.0
B,117736,2022-02-26,18.0
B,115846,2022-06-05,3.0
C,124414,2022-08-20,1.0
C,111985,2022-08-27,1.0
A,12355,2022-04-19,7.0
A,107836,2022-04-29,105.0
A,119554,2022-08-26,15.0
D,9628,2022-01-26,2.0
D,107224,2022-04-18,9.0
D,95137,2022-07-09,12.0
D,259,2022-09-24,10.0
A,123307,2022-08-04,92.0
B,117745,2022-04-25,40.0
B,36808,2022-08-29,55.0
A,9925,2022-02-02,4.0
A,91438,2022-02-08,11.0
A,295,2022-03-25,2.0
A,40759,2022-05-08,8.0
A,102490,2022-05-29,29.799999713897705
D,10591,2022-06-26,2.0
D,123307,2022-06-28,54.0
C,13741,2022-02-22,1.0
A,114658,2022-10-06,4.0
B,42847,2022-03-06,1.0
E,42685,2022-07-14,11.0
A,118033,2022-03-30,4.0
A,673,2022-05-15,6.0
D,120418,2022-02-15,6.0
D,14947,2022-04-11,4.0
A,23785,2022-07-21,5.0
D,13948,2022-05-18,1.0
C,10654,2022-03-26,2.0
C,116836,2022-05-03,19.0
C,11509,2022-05-14,5.0
C,117520,2022-07-04,5.0
A,36808,2022-04-24,67.0
A,6163,2022-07-28,17.0
A,29653,2022-09-17,4.0
A,95137,2022-09-23,5.0
C,4930,2022-01-28,2.0
C,91438,2022-03-29,6.0
C,10852,2022-05-15,3.0
C,116836,2022-05-15,13.0
B,18223,2022-08-31,165.0
B,18223,2022-09-23,114.0
B,18223,2022-03-10,140.0
E,9979,2022-05-05,8.0
A,123694,2022-06-18,6.0
C,898,2022-04-23,50.0
D,110671,2022-09-04,1.0
A,29653,2022-08-29,10.0
B,10852,2022-02-01,1.0
B,107863,2022-04-19,5.0
B,3328,2022-08-16,7.0
D,259,2022-01-23,15.0
D,117925,2022-01-25,27.0
D,43279,2022-03-26,2.0
D,23785,2022-04-05,11.0
D,610,2022-04-12,3.0
D,117187,2022-06-16,3.0
D,25000,2022-09-03,4.0
A,36808,2022-07-19,77.0
E,55906,2022-09-27,1.0
C,40759,2022-02-27,5.0
