stg_item_cd,stg_item_sub_segment_desc_txt,stg_item_segment_desc_txt,stg_item_category_desc_txt,stg_item_sub_dept_desc_txt,stg_item_dept_desc_txt
989503,Regular,Instant Powdered Chocolate Drinks,Instant Chocolate Drinks,Chocolate Drink,Beverages
823687,Bottles,Cordial,Cordial,Juices,Beverages
49246,Box,Full Cream Powdered Milk,Powdered Milk,Milk & Creamers,Beverages
999601,Packets,Mozarella Cheese,Cheese Blocks,Cheese,Chilled
1021192,Flavored,Stirred Yogurt-Regular,Stirred Yogurt,Yoghurt,Chilled
97720,Packets,Orid,Orid,Pulses,Grocery
9808,Flavoured,Imported,Flavoured/Cream/Fruit/Chocolate,Biscuits,Grocery
831517,Flavoured,Imported,Flavoured/Cream/Fruit/Chocolate,Biscuits,Grocery
1082419,Small Packs,Wafers,Sweet Biscuits & Cookies Regular,Biscuits,Grocery
1067083,Small Packs,Wafers,Sweet Biscuits & Cookies Regular,Biscuits,Grocery
1103416,Imported,Specialty Cooking Sauces,Ambient Cooking Sauces,Sauce,Grocery
65581,Imported,Specialty Cooking Sauces,Ambient Cooking Sauces,Sauce,Grocery
116764,Imported,Mustard Cream,Ambient Table Sauces,Sauce,Grocery
109618,Specialty,Plain,Regular,Noodles,Grocery
427498,Pasta Lasagna,Pasta Lasagna,Packaged Dry Pasta,Pasta & Noodles,Grocery
26566,Cans,Peach,Canned Fruit,Processed/Preserved Fruits,Grocery
1076767,Imported,Extruded Snack Crisps & Chips,Snack-Crisps & Chips,Snacks,Grocery
2986,Powders,Powders,Imported,Soups,Grocery
986524,Shower Gel,Shower Gel,Body Cleansing,Hand & Body Care,Household
1054141,Lipstick,Lipstick,Lip Cosmetics,Cosmetics,Household
1066273,Lipstick,Lipstick,Lip Cosmetics,Cosmetics,Household
1059685,Lipstick,Lipstick,Lip Cosmetics,Cosmetics,Household
1054150,Lipstick,Lipstick,Lip Cosmetics,Cosmetics,Household
816658,Men's Perfumes EDT,Men's Perfumes,Men's Fragrance,Men's Toiletries,Household
887434,Dual Purpose,Washing Detergents Powders,Washing Detergents,Laundry Care,Household
919357,Prepared Meals,Baby Prepared Meals,Baby Ready Meals,Baby Foods,Household
390994,Normal Skin,Facial Cleansers,Facial Cleansing,Facial Care,Household
29626,Car wash,Car wash,Car Care Cleaning  Exterior,Car Care,Household
89206,Adult,Mouth Wash,Mouth Wash & Breath Freshener,Oral Care,Household
108781,Lotion/Cream,Repellent,Insecticides,Pest Control,Household
878695,Cans,Cans,Cans,Carbonated,Beverages
544966,Bottles,Nectar,RTD,Juices,Beverages
413683,Condensed Milk,Condensed Milk,Condensed Milk,Dessert Ingredients,Grocery
817243,Flavoured,Imported,Flavoured/Cream/Fruit/Chocolate,Biscuits,Grocery
